流域面积,相对高差,平均坡度,ndvi,clay,sand,silt,一级道路密度,二级道路密度,三级道路密度,四级道路密度,高速公路密度,铁路密度,断裂带密度,雨季降雨量均值,暴雨数量,特大暴雨数量,大暴雨数量,大雨数量,发生
5.02953,1474,34.0694008,0.684516,26,33,41,0,0.0011002,0,0.0032389,0,0,0.0364755,5.0359302,0.0430825,0.0430825,0.0430825,0.0430825,1
0.630753,524,24.7544003,-0.0929297,21.7196007,48.5640984,29.7162991,0,0,0,0.0259909,0,0,0.11571,7.5253501,0.005403,0.005403,0.005403,0.005403,0
61.7578011,2417,29.3339996,0.646294,22.7667007,45.7332993,31.5,0,0.0378506,0,0.0002677,0,0,0.0003928,4.3705301,0.529012,0.529012,0.529012,0.529012,1
1.10611,698,25.2756996,-0.158494,20.8078995,48.7778015,30.4143009,0,0,0,0.0150829,0,0,0.0493995,5.78408,0.0094748,0.0094748,0.0094748,0.0094748,0
44.6562004,2541,34.6010017,0.703628,23.7954998,42.4544983,33.75,0,0.000416,0,0.0003749,0,0,0.0026938,4.89854,0.382521,0.382521,0.382521,0.382521,1
49.5136986,2572,33.5791016,0.571602,22.6889,44.2888985,33.0222015,0,0.0026731,0,0.000339,0,0,0.0003607,5.5482702,0.42413,0.42413,0.42413,0.42413,1
33.8731003,2132,29.8127995,0.646148,21.3332996,49.2000008,29.4666996,0,0.0279373,0,0.0004963,0,0,0.0003213,4.53655,0.290155,0.290155,0.290155,0.290155,1
2.79109,1134,37.3147011,0.698273,26,33,41,0,0,0,0.0060364,0,0,0.0232617,5.1076398,0.0239082,0.0239082,0.0239082,0.0239082,1
29.8463993,2484,34.2356987,0.667696,23.2963009,46.2593002,30.4444008,0,0,0,0.0005727,0,0,0.000186,4.7372799,0.255662,0.255662,0.255662,0.255662,1
64.7891006,2594,32.6859016,0.546649,22.8871002,45.2902985,31.8225994,0,0,0,0.0002688,0,0,0.0000707,5.83887,0.554979,0.554979,0.554979,0.554979,1
36.6584015,2658,36.531601,0.716072,23.3889008,42.5555992,34.0555992,0,0,0,0.0004792,0,0,0.0009629,5.0636001,0.314013,0.314013,0.314013,0.314013,1
11.4889002,1858,36.6464005,0.681442,24.5454998,38.8181992,36.6363983,0,0,0,0.0015413,0,0,0.037632,5.42696,0.098413,0.098413,0.098413,0.098413,1
78.0269012,2400,31.1998997,0.625356,22.3066998,48.2000008,29.4932995,0,0,0.0246249,0.0002288,0,0,0.0037104,4.58637,0.668372,0.668372,0.668372,0.668372,1
5.7788701,1744,35.3176994,0.720419,25.2000008,36.2000008,38.5999985,0,0,0,0.003109,0,0,0.0008076,5.8722301,0.0495013,0.0495013,0.0495013,0.0495013,1
46.7607994,2798,34.9594994,0.672199,23.5652008,44.456501,31.9783001,0,0.187834,0,0.0003867,0,0,0.0000923,4.9278402,0.40055,0.40055,0.40055,0.40055,1
68.3075027,2443,33.6991997,0.585815,22.4032001,47.2902985,30.3064995,0,0,0,0.0002654,0,0,0.0007671,6.1332798,0.585117,0.585117,0.585117,0.585117,1
26.1725006,2566,36.4362984,0.721007,23.5599995,41.5600014,34.8800011,0,0,0,0.0006951,0,0,0.0048699,5.4611301,0.224192,0.224192,0.224192,0.224192,1
26.2192001,2373,35.5447998,0.64055,24.0741005,44.6666985,31.2593002,0,0,0,0.0006954,0,0,0.0016807,5.9330502,0.224591,0.224591,0.224591,0.224591,0
34.3857994,2700,35.7719994,0.705641,25.25,43.6875,31.0625,0,0.0081276,0,0.0005391,0,0,0.0003785,5.1600299,0.294546,0.294546,0.294546,0.294546,1
43.8787003,2448,32.1390991,0.590299,23.1026001,45.3333015,31.5641003,0,0,0,0.0004264,0,0,0.0046686,6.0915298,0.375861,0.375861,0.375861,0.375861,1
4.4228301,1762,37.5990982,0.720412,27.5,38.5,34,0,0,0,0.0042373,0,0,0.0324973,5.0827298,0.0378856,0.0378856,0.0378856,0.0378856,1
2.3829601,651,23.7416992,-0.177182,18.6315994,43.5105019,37.8578987,0,0,0,0.0079331,0,0,0.0825094,6.0672998,0.0204123,0.0204123,0.0204123,0.0204123,0
27.7971992,2526,34.6548004,0.703401,24.0769005,44.7308006,31.1923008,0,0,0,0.0006846,0,0,0.0057656,5.0963202,0.238109,0.238109,0.238109,0.238109,1
14.9514999,1847,35.8277016,0.745167,27.5,38.5,34,0,0,0,0.0012739,0,0,0.0013543,5.4273,0.128074,0.128074,0.128074,0.128074,1
46.0853004,1648,29.9641991,0.61951,22.2791004,48.6278992,29.0930004,0,0,0,0.0004139,0,0,0.0007778,4.7644801,0.394763,0.394763,0.394763,0.394763,1
26.7567997,1881,30.9218006,0.60275,21.5200005,49.8800011,28.6000004,0,0,0,0.0007169,0,0,0.0053518,5.3285298,0.229197,0.229197,0.229197,0.229197,1
46.0466003,2432,34.830101,0.716811,26.7441998,42.209301,31.0464993,0,0,0,0.0004217,0,0,0.000763,5.1290598,0.394432,0.394432,0.394432,0.394432,1
23.8722,2429,34.6787987,0.712846,24.2173996,45.043499,30.7390995,0,0,0,0.000817,0,0,0.0016204,5.1019702,0.204487,0.204487,0.204487,0.204487,1
