流域面积,相对高差,平均坡度,乡县密度,雨季降雨量均值,大暴雨数量,暴雨数量,大雨数量,sand,silt,clay,LUCC,NDVI,断裂带密度,发生
30.75849915,2612,32.86009979,0,5.395609856,100.947998,50.94820023,33.9137001,44.07410049,32.66669846,23.25930023,20,0.411518008,0.000386951,1
5.029530048,1378,32.49869919,0,5.035930157,98,48,29,33,41,26,20,0.684845984,0.0364755,0
0.630752981,127,24.25189972,0,7.478740215,88.43470001,41.83610153,30.67219925,45.16719818,31.98880005,22.84399986,20,0.022333199,0.11571,0
61.75780106,106,16.12380028,0,4.583330154,82.40570068,36.97299957,19.94610023,41.06480026,32,26.93519974,30,0.521200001,0.000392783,0
1.106109977,503,16.86840057,0,5.783760071,99,50,40,48.19889832,30.56959915,21.23150063,20,-0.198286995,0.0493995,0
44.65620041,2438,32.53089905,0,4.902969837,90.2220993,43.66749954,24.35700035,42.48839951,33.79069901,23.72089958,20,0.704226017,0.0026938,1
49.51369858,2457,30.96430016,0,5.54817009,99.96769714,51.41080093,29.92499924,44.28889847,33.02220154,22.68889999,20,0.571990013,0.000360672,0
33.87310028,0,26.79330063,0,4.738090038,79,36,18,41,32,27,30,0.585882008,0.000321339,0
2.791090012,1101,35.97290039,0,5.10763979,87.91110229,43.84180069,22.99020004,33,41,26,20,0.697432995,0.0232617,0
29.84639931,2484,32.51179886,0,4.737259865,79.01830292,36.00519943,18.01049995,46.25930023,30.44440079,23.29630089,20,0.669573009,0.000186029,0
64.78910065,2579,30.37509918,0,5.836850166,101.0240021,53.55870056,29.92180061,45.29029846,31.82259941,22.88710022,20,0.556801021,7.07E-05,0
36.65840149,2576,33.72119904,0,5.063710213,86.8506012,42.90969849,22.39870071,42.55559921,34.05559921,23.38890076,20,0.716035008,0.000962931,1
11.48890018,1773,34.77230072,0,5.426959991,89.43640137,46.19729996,28.32570076,38.81819916,36.63639832,24.5454998,20,0.68175,0.037632,1
78.02690125,39,30.88579941,0,4.738090038,79,36,18,41,32,27,30,0.660862982,0.00371041,0
5.778870106,1699,31.72929955,0,5.872230053,92,44,27,36.20000076,38.59999847,25.20000076,20,0.719340026,0.000807607,0
